symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,sl_floor,daily_pnl_snapshot,profit_lock_armed
HDFCBANK,SELL,762.2,762.2,750.75,10,0.75,CLOSED,ORB Break SELL,10:20,0.0,False,0.75,,,,,762.2,-218.04999999999984,1
OIL,SELL,464.65,468.15,457.7,10,0.0,CLOSED,ORB Break SELL,10:20,-35.0,False,0.75,,,,,,-218.04999999999984,1
LICHSGFIN,SELL,499.85,499.85,492.35,10,0.75,CLOSED,ORB Break SELL,10:20,0.0,False,0.75,,,,,499.85,-218.04999999999984,1
ADANIGREEN__PYR2,SELL,832.59,832.6,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR2],10:57,-0.1,True,0.75,ADANIGREEN,2,,,832.6,-218.04999999999984,1
UNITDSPR__PYR4,SELL,1268.512,1271.9,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR4],10:57,-33.88,True,0.75,UNITDSPR,4,,,1271.9,-218.04999999999984,1
PRESTIGE__PYR3,SELL,1176.09,1176.1,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR3],10:57,-0.1,True,0.75,PRESTIGE,3,,,1176.1,-218.04999999999984,1
CDSL__PYR2,SELL,1180.773,1180.8,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR2],10:57,-0.27,True,0.75,CDSL,2,,,1180.8,-218.04999999999984,1
EICHERMOT__PYR2,SELL,6783.553,6787.0,6722.0,10,0.75,CLOSED,ORB Break SELL [PYR2],10:57,-34.47,False,0.75,EICHERMOT,2,,,6787.0,-218.04999999999984,1
SYNGENE__PYR1,SELL,414.7021,417.8,409.7,10,0.0,CLOSED,ORB Break SELL [PYR1],10:57,50.02,False,0.75,SYNGENE,1,,,,-218.04999999999984,1
SYNGENE__PYR2,SELL,413.4543,416.55,409.7,10,0.0,CLOSED,ORB Break SELL [PYR2],10:57,37.54,False,0.75,SYNGENE,2,,,,-218.04999999999984,1
CHOLAFIN__PYR3,SELL,1422.931,1427.1,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR3],10:57,-41.69,True,0.75,CHOLAFIN,3,,,1427.1,-218.04999999999984,1
INFY,SELL,1275.2,1275.2,1256.1,10,0.75,CLOSED,ORB Break SELL,10:58,0.0,False,0.75,,,,,1275.2,-218.04999999999984,1
ICICIGI,SELL,1752.2,1752.2,1725.9,10,0.75,CLOSED,ORB Break SELL,10:58,0.0,False,0.75,,,,,1752.2,-218.04999999999984,1
DALBHARAT,SELL,1831.3,1831.8,1803.8,10,0.75,CLOSED,ORB Break SELL,10:58,-5.0,False,0.75,,,,,1831.8,-218.04999999999984,1
DABUR,SELL,421.65,422.45,415.35,10,0.75,CLOSED,ORB Break SELL,10:58,-8.0,False,0.75,,,,,422.45,-218.04999999999984,1
HINDUNILVR,SELL,2097.3,2097.3,2065.8,10,0.75,CLOSED,ORB Break SELL,11:00,0.0,False,0.75,,,,,2097.3,-218.04999999999984,1
LICI,SELL,767.0,767.0,755.5,10,0.75,CLOSED,ORB Break SELL,11:00,0.0,False,0.75,,,,,767.0,-218.04999999999984,1
SUNPHARMA,BUY,1812.5,1804.5,1839.7,10,0.75,CLOSED,ORB Break,11:01,-80.0,False,0.75,,,,,1804.5,-218.04999999999984,1
ICICIBANK,SELL,1248.5,1248.5,1229.8,10,0.75,CLOSED,ORB Break SELL,11:03,0.0,False,0.75,,,,,1248.5,-218.04999999999984,1
INDIGO__PYR2,SELL,4159.584,4159.0,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR2],11:04,217.84,True,0.75,INDIGO,2,,,,-218.04999999999984,1
COLPAL,SELL,1893.4,1897.5,1865.0,10,0.75,CLOSED,15m InsideBreak SELL,11:06,-41.0,False,0.75,,,,,1897.5,-218.04999999999984,1
MAXHEALTH,SELL,975.5,975.5,960.9,10,0.75,CLOSED,ORB Break SELL,11:07,0.0,False,0.75,,,,,975.5,-218.04999999999984,1
SUNPHARMA__PYR1,BUY,1817.9375,1804.3,1839.7,10,0.0,CLOSED,ORB Break [PYR1],11:07,-136.38,False,0.75,SUNPHARMA,1,,,,-218.04999999999984,1
FORTIS__PYR1,SELL,815.6513,815.65,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR1],11:08,0.01,True,0.75,FORTIS,1,,,815.65,-218.04999999999984,1
INDUSINDBK__PYR1,SELL,795.4066,795.4,785.85,10,0.75,CLOSED,ORB Break SELL [PYR1],11:12,0.07,False,0.75,INDUSINDBK,1,,,795.4,-218.04999999999984,1
MAXHEALTH__PYR1,SELL,972.5735,974.2,960.9,10,0.75,CLOSED,ORB Break SELL [PYR1],11:17,-16.27,False,0.75,MAXHEALTH,1,,,974.2,-218.04999999999984,1
HDFCBANK__PYR1,SELL,759.9134,759.9,750.75,10,0.75,CLOSED,ORB Break SELL [PYR1],11:19,0.13,False,0.75,HDFCBANK,1,,,759.9,-218.04999999999984,1
INDIGO__PYR3,SELL,4138.576,4138.6,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR3],11:19,7.76,True,0.75,INDIGO,3,,,4138.6,-218.04999999999984,1
INDHOTEL,SELL,603.2,603.2,594.15,10,0.75,CLOSED,ORB Break SELL,11:20,0.0,False,0.75,,,,,603.2,-218.04999999999984,1
INDUSINDBK__PYR2,SELL,793.0132,793.0,785.85,10,0.75,CLOSED,ORB Break SELL [PYR2],11:21,0.13,False,0.75,INDUSINDBK,2,,,793.0,-218.04999999999984,1
CDSL__PYR3,SELL,1174.8095,1174.8,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR3],11:23,0.1,True,0.75,CDSL,3,,,1174.8,-218.04999999999984,1
MCX,SELL,2422.0,2422.0,2385.7,10,0.75,CLOSED,ORB Break SELL,11:23,0.0,False,0.75,,,,,2422.0,-218.04999999999984,1
LAURUSLABS,SELL,1005.0,1005.0,989.9,10,0.75,CLOSED,ORB Break SELL,11:25,0.0,False,0.75,,,,,1005.0,-218.04999999999984,1
ICICIGI__PYR1,SELL,1746.9434,1746.9,1725.9,10,0.75,CLOSED,ORB Break SELL [PYR1],11:25,0.43,False,0.75,ICICIGI,1,,,1746.9,-218.04999999999984,1
INDHOTEL__PYR1,SELL,601.3904,601.4,594.15,10,0.75,CLOSED,ORB Break SELL [PYR1],11:25,-0.1,False,0.75,INDHOTEL,1,,,601.4,-218.04999999999984,1
PRESTIGE__PYR4,SELL,1170.12,1170.1,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR4],11:26,0.2,True,0.75,PRESTIGE,4,,,1170.1,-218.04999999999984,1
IRCTC__PYR2,SELL,510.048,510.05,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR2],11:28,-0.02,True,0.75,IRCTC,2,,,510.05,-218.04999999999984,1
ADANIPORTS__PYR3,SELL,1342.161,1342.0,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR3],11:28,2.61,True,0.75,ADANIPORTS,3,,,,-218.04999999999984,1
LAURUSLABS__PYR1,SELL,1001.985,1009.5,989.9,10,0.0,CLOSED,ORB Break SELL [PYR1],11:29,-30.15,False,0.75,LAURUSLABS,1,,,,-218.04999999999984,1
