[2026-03-30 09:25:34] UPL__PYR1 SL HIT SELL Entry:584.9605 Exit:589.35 NetPnL:-43.89
[2026-03-30 09:25:50] PYRAMID Leg1 DALBHARAT SELL Entry:1806.42 SL:1820.00 TSL-Only
[2026-03-30 09:26:10] ADANIENT SL HIT SELL Entry:1808.2 Exit:1823.1 NetPnL:-149.00
[2026-03-30 09:29:33] TCS SL HIT SELL Entry:2358.9 Exit:2387.2 NetPnL:-283.00
[2026-03-30 09:30:36] TORNTPOWER__PYR1 SL HIT SELL Entry:1324.942 Exit:1324.7 NetPnL:2.42
[2026-03-30 09:31:36] CUMMINSIND SL HIT SELL Entry:4575.0 Exit:4618.0 NetPnL:-430.00
[2026-03-30 09:32:04] AXISBANK__PYR1 SL HIT SELL Entry:1156.588 Exit:1165.3 NetPnL:-87.12
[2026-03-30 09:33:55] TORNTPOWER__PYR2 SL HIT SELL Entry:1318.284 Exit:1328.2 NetPnL:-99.16
[2026-03-30 09:34:26] PNBHOUSING SL HIT SELL Entry:778.25 Exit:776.8 NetPnL:14.50
[2026-03-30 09:34:26] PNBHOUSING__PYR1 SL HIT SELL Entry:774.3587 Exit:776.8 NetPnL:-24.41
[2026-03-30 09:35:16] 🚨 PNL_GUARD HARD LOSS | Total PnL:₹-2271.24 <= Limit:₹-2200 | Closing ALL + HALTED
[2026-03-30 09:35:16] PNL_GUARD CLOSE AXISBANK SELL Entry:1162.4 Exit:1170.60 Net:-82.00 Reason:PNL_GUARD_LOSS_LIMIT
[2026-03-30 09:35:16] PNL_GUARD CLOSE LUPIN SELL Entry:2310.4 Exit:2320.70 Net:-103.00 Reason:PNL_GUARD_LOSS_LIMIT
[2026-03-30 09:35:16] PNL_GUARD CLOSE TORNTPOWER SELL Entry:1331.6 Exit:1326.10 Net:55.00 Reason:PNL_GUARD_LOSS_LIMIT
[2026-03-30 09:35:16] PNL_GUARD CLOSE SRF SELL Entry:2460.0 Exit:2456.30 Net:37.00 Reason:PNL_GUARD_LOSS_LIMIT
[2026-03-30 09:35:16] PNL_GUARD CLOSE LAURUSLABS SELL Entry:998.0 Exit:995.60 Net:24.00 Reason:PNL_GUARD_LOSS_LIMIT
[2026-03-30 09:35:16] PNL_GUARD CLOSE CIPLA SELL Entry:1217.6 Exit:1229.20 Net:-116.00 Reason:PNL_GUARD_LOSS_LIMIT
[2026-03-30 09:35:16] PNL_GUARD CLOSE PAYTM SELL Entry:994.2 Exit:991.90 Net:23.00 Reason:PNL_GUARD_LOSS_LIMIT
[2026-03-30 09:35:16] PNL_GUARD CLOSE DALBHARAT SELL Entry:1815.5 Exit:1809.80 Net:57.00 Reason:PNL_GUARD_LOSS_LIMIT
[2026-03-30 09:35:16] PNL_GUARD CLOSE BAJAJFINSV SELL Entry:1660.0 Exit:1665.10 Net:-51.00 Reason:PNL_GUARD_LOSS_LIMIT
[2026-03-30 09:35:16] PNL_GUARD CLOSE SIEMENS SELL Entry:2977.5 Exit:3002.00 Net:-245.00 Reason:PNL_GUARD_LOSS_LIMIT
[2026-03-30 09:35:16] PNL_GUARD CLOSE LICI SELL Entry:748.9 Exit:744.20 Net:47.00 Reason:PNL_GUARD_LOSS_LIMIT
[2026-03-30 09:35:16] PNL_GUARD CLOSE ADANIENSOL SELL Entry:949.1 Exit:949.50 Net:-4.00 Reason:PNL_GUARD_LOSS_LIMIT
[2026-03-30 09:35:16] PNL_GUARD CLOSE COFORGE SELL Entry:1124.0 Exit:1130.50 Net:-65.00 Reason:PNL_GUARD_LOSS_LIMIT
[2026-03-30 09:35:16] PNL_GUARD CLOSE TITAN SELL Entry:3922.7 Exit:3967.40 Net:-447.00 Reason:PNL_GUARD_LOSS_LIMIT
[2026-03-30 09:35:16] PNL_GUARD CLOSE UPL SELL Entry:587.9 Exit:589.35 Net:-14.50 Reason:PNL_GUARD_LOSS_LIMIT
