[2026-03-25 08:46:28] ENGINE STARTED | MODE: PAPER
[2026-03-25 09:18:00] PAPER SELL TECHM Entry:1400.2 SL:1415.9 TSL-Only

[2026-03-25 09:18:00] PAPER SELL MPHASIS Entry:2128.1 SL:2147.5 TSL-Only

[2026-03-25 09:18:59] PYRAMID Leg1 MPHASIS SELL Entry:2117.46 SL:2133.30 TSL-Only
[2026-03-25 09:20:04] F5 FROZEN IEX O:120.30 H:121.80 L:120.12 C:121.76 Range:1.40%
[2026-03-25 09:20:04] F5 FROZEN IRFC O:93.85 H:95.31 L:93.80 C:95.14 Range:1.61%
[2026-03-25 09:20:04] F5 FROZEN JINDALSTEL O:1134.10 H:1146.20 L:1134.10 C:1146.20 Range:1.07%
[2026-03-25 09:20:04] F5 FROZEN CIPLA O:1219.00 H:1225.90 L:1219.00 C:1223.70 Range:0.57%
[2026-03-25 09:20:04] F5 FROZEN INOXWIND O:79.10 H:79.81 L:78.76 C:79.75 Range:1.33%
[2026-03-25 09:20:04] F5 FROZEN POWERGRID O:299.85 H:301.20 L:298.25 C:301.10 Range:0.98%
[2026-03-25 09:20:04] F5 FROZEN 360ONE O:999.00 H:1008.00 L:992.10 C:1006.30 Range:1.59%
[2026-03-25 09:20:04] F5 FROZEN KALYANKJIL O:375.00 H:382.10 L:374.50 C:381.75 Range:2.03%
[2026-03-25 09:20:04] F5 FROZEN NTPC O:376.00 H:378.05 L:375.60 C:375.95 Range:0.65%
[2026-03-25 09:20:04] F5 FROZEN BAJAJ-AUTO O:9039.00 H:9062.00 L:9002.00 C:9034.00 Range:0.66%
[2026-03-25 09:20:04] F5 FROZEN ONGC O:267.85 H:268.50 L:266.40 C:267.30 Range:0.78%
[2026-03-25 09:20:04] F5 FROZEN DRREDDY O:1265.00 H:1274.80 L:1260.10 C:1273.40 Range:1.16%
[2026-03-25 09:20:04] F5 FROZEN PFC O:402.70 H:405.70 L:402.50 C:405.65 Range:0.79%
[2026-03-25 09:20:04] F5 FROZEN JUBLFOOD O:450.10 H:455.00 L:448.60 C:454.40 Range:1.42%
[2026-03-25 09:20:04] F5 FROZEN ABCAPITAL O:307.15 H:311.50 L:304.55 C:311.35 Range:2.26%
[2026-03-25 09:20:04] F5 FROZEN HINDUNILVR O:2095.40 H:2111.00 L:2086.00 C:2110.70 Range:1.19%
[2026-03-25 09:20:04] F5 FROZEN HUDCO O:171.34 H:174.77 L:171.17 C:174.71 Range:2.10%
[2026-03-25 09:20:05] F5 FROZEN GODREJPROP O:1562.40 H:1585.90 L:1562.40 C:1583.60 Range:1.50%
[2026-03-25 09:20:05] F5 FROZEN NAUKRI O:995.70 H:1016.20 L:995.20 C:1011.30 Range:2.11%
[2026-03-25 09:20:05] F5 FROZEN PIIND O:2771.10 H:2824.00 L:2771.10 C:2818.20 Range:1.91%
[2026-03-25 09:20:05] F5 FROZEN OBEROIRLTY O:1452.70 H:1486.60 L:1451.00 C:1486.20 Range:2.45%
[2026-03-25 09:20:05] F5 FROZEN PPLPHARMA O:136.07 H:139.85 L:135.76 C:139.84 Range:3.01%
[2026-03-25 09:20:05] F5 FROZEN LICI O:763.95 H:771.35 L:763.55 C:771.35 Range:1.02%
